철도운영기관명,선명,역명,지상지하구분,역층,게이트내외,출구번호,상세위치
서울시메트로9호선주식회사,9호선,가양,지하,1,외,3,(B1) 3번출구 우측
서울시메트로9호선주식회사,9호선,개화,지상,2,외,1,(2F) 표내는 곳 옆
서울시메트로9호선주식회사,9호선,고속터미널,지하,1,외,1,(B1) 1번 출구 옆
서울시메트로9호선주식회사,9호선,고속터미널,지하,1,외,8,(B1) 8-1번 출구 옆
서울시메트로9호선주식회사,9호선,고속터미널,지하,2,내,8,(B2) 표 내는 곳 앞
서울시메트로9호선주식회사,9호선,고속터미널,지하,2,내,1,(B2) 표 내는 곳 옆
서울시메트로9호선주식회사,9호선,공항시장,지하,1,외,1,(B1) 1번/4번 출입구 방향
서울시메트로9호선주식회사,9호선,구반포,지하,1,외,1,(B1) GS 편의점 옆 통로
서울시메트로9호선주식회사,9호선,국회의사당,지하,2,내,2,(B2) 편의점 방향 표 내는 곳 내부/ E/L 1호기 주변에 위치
서울시메트로9호선주식회사,9호선,국회의사당,지하,2,외,2,(B2)ㄷ자 형태 표 내는 곳 2번출입구 방향
서울시메트로9호선주식회사,9호선,김포공항,지하,1,외,4,(B1) 4번 출입구 옆
서울시메트로9호선주식회사,9호선,김포공항,지하,1,내,4,(B1) 공항철도 역무실 옆
서울시메트로9호선주식회사,9호선,노들,지하,1,외,2,(B1) 편의점 방향 표내는 곳 옆
서울시메트로9호선주식회사,9호선,노량진,지하,1,외,3,(B1) 3번 출구 옆
서울시메트로9호선주식회사,9호선,노량진,지하,1,내,3,(B1) 안전관리실 앞
서울시메트로9호선주식회사,9호선,노량진,지하,1,외,5,(B1) 5/6 번 출구 연결통로
서울시메트로9호선주식회사,9호선,당산,지하,1,외,7,(B1) 표내는곳  옆/ 7번 출입구 방향
서울시메트로9호선주식회사,9호선,당산,지하,2,내,8,(B2) 서울지하철경찰대 옆
서울시메트로9호선주식회사,9호선,동작(현충원),지하,2,내,5,(B2) 표 내는 곳 내 우측 통로 방향 
서울시메트로9호선주식회사,9호선,동작(현충원),지하,2,외,5,(B2) 대합실 9번 출입구 방향
서울시메트로9호선주식회사,9호선,등촌,지하,1,외,2,(B1) 표내는곳 옆/ 1번/2번 출입구 방향
서울시메트로9호선주식회사,9호선,사평,지하,1,외,1,(B1) 1번 출입구 방향
서울시메트로9호선주식회사,9호선,샛강,지하,2,외,3,(B2) 3번 출입구 방향
서울시메트로9호선주식회사,9호선,선유도,지하,1,외,7,(B1) 7번 출입구 방향
서울시메트로9호선주식회사,9호선,신논현,지하,2,외,5,(B2) 5번 출입구 방향
서울시메트로9호선주식회사,9호선,신목동,지하,2,외,2,(B2) 2번 출입구 근처
서울시메트로9호선주식회사,9호선,신반포,지하,1,외,1,(B1) 안전관리실 옆 통로
서울시메트로9호선주식회사,9호선,신방화,지하,1,외,6,(B1) 안전관리실 앞
서울시메트로9호선주식회사,9호선,양천향교,지하,1,외,3,(B1) 대합실1번~4번 출입구 방향/ 3번 출입구 옆
서울시메트로9호선주식회사,9호선,여의도,지하,1,외,3,(B1) 임대상가 앞 3번/4번 출입구 방향
서울시메트로9호선주식회사,9호선,여의도,지하,2,내,,(B2) 하선승강장 3-1 PSD 앞
서울시메트로9호선주식회사,9호선,염창,지하,1,외,3,(B1) 3번/4번 출입구 방향
서울시메트로9호선주식회사,9호선,증미,지하,2,외,,(B2) 대합실 계단 좌측
서울시메트로9호선주식회사,9호선,흑석(중앙대입구),지하,1,외,1,(B1) 1번출구 하단부 옆/ 생태공원 부근
