철도운영기관명,선명,역명,지상지하구분,역층,게이트내외,출구번호,상세위치
서울교통공사,2호선,강남,지하,1,내,12,대합실 1층 역무실쪽(1/12번출구쪽)/게이트내
서울교통공사,2호선,강변(동서울터미널),지상,1,외,2,대합실 1층 통로 중앙
서울교통공사,2호선,건대입구,지상,2,내,2,대합실 2층 통로 중앙
서울교통공사,2호선,교대(법원·검찰청),지하,1,외,4,대합실 1층 1/2/3/4/번출구 쪽
서울교통공사,2호선,구로디지털단지,지상,2,내,1,지상2층/ 역무실 앞 (게이트내)
서울교통공사,2호선,구의(광진구청),지상,2,외,2,대합실 2층 통로 중앙
서울교통공사,2호선,낙성대,지하,1,외,5,대합실 1층 고객안내부스앞(3/4/5/6번출구쪽)
서울교통공사,2호선,당산,지상,2,내,4,지상2층/ 대합실 중앙(게이트내)
서울교통공사,2호선,대림(구로구청),지상,2,내,6,지상2층/ 대합실 중앙(게이트내)
서울교통공사,2호선,도림천,지상,1,외,1,지상1층/ 역무실 옆(게이트외)
서울교통공사,2호선,동대문역사문화공원,지하,1,내,1,대합실 1층 역무실 앞
서울교통공사,2호선,뚝섬,지상,2,외,6,역무실 옆
서울교통공사,2호선,문래,지하,1,외,3,지하1층 대합실(게이트외/ 2/3번출구방향)
서울교통공사,2호선,방배,지하,1,외,4,서초방면 대합실 끝(1/4번 출구방향)/게이트외
서울교통공사,2호선,봉천,지하,1,외,2,대합실1층/ 안내부스맞은편(1/6번출구쪽)게이트외
서울교통공사,2호선,사당,지하,1,외,7,지하1층 대합실 7/8번 출구 쪽(낙성대측)
서울교통공사,2호선,사당,지하,1,외,1,지하1층 대합실 1/2번 출구 쪽(방배측)
서울교통공사,2호선,삼성(무역센터),지하,1,외,3,대합실 1층 통로 중앙
서울교통공사,2호선,상왕십리,지하,1,외,4,대합실 1층 5/6번출구 앞
서울교통공사,2호선,서울대입구(관악구청),지하,1,외,8,대합실 1층 (7/8번출구쪽)
서울교통공사,2호선,서초,지하,1,외,1,대합실1층 (1/2/7/8번 출구쪽)/게이트외
서울교통공사,2호선,선릉,지하,1,외,1,대합실 1층 1번출구 앞
서울교통공사,2호선,성수,지상,2,외,2,대합실 2층 2번출구측  
서울교통공사,2호선,시청,지하,1,내,10,지하1층 9/10번출구 옆
서울교통공사,2호선,시청,지하,2,외,11,지하2층 환승통로
서울교통공사,2호선,신답,지상,1,내,1,1층 대합실
서울교통공사,2호선,신당,지하,1,외,2,대합실 1층 22/23번기둥
서울교통공사,2호선,신대방,지상,2,내,4,대합실 2층 역무실쪽(1/4번출구쪽)/ 게이트내
서울교통공사,2호선,신도림,지하,1,외,1,지하1층 대합실(게이트외/1번출구방향)
서울교통공사,2호선,신도림,지하,1,내,1,지하1층 대합실 (게이트내/ 1번출구방향)
서울교통공사,2호선,신림,지하,1,내,4,대합실 1층 역무실 맞은편(3/4번출구쪽)/게이트내
서울교통공사,2호선,신촌,지하,1,외,5,지하1층대합실/ 5번출구 옆 
서울교통공사,2호선,신설동,지하,1,내,7,대합실(지하1층) 역무실 옆
서울교통공사,2호선,신정네거리,지하,1,외,3,지하1층 대합실(게이트외/ 2번/ 3번 출구방향)
서울교통공사,2호선,아현,지하,1,외,4,지하1층 대합실 이대역방면 끝단
서울교통공사,2호선,양천구청,지하,1,내,1,지하1층/ 대합실(게이트내/ 신청자량사업소출구 옆)
서울교통공사,2호선,역삼,지하,2,외,3,대합실 2층 통로 중앙
서울교통공사,2호선,영등포구청,지하,1,내,2,지하1층 대합실(게이트내/ 환승통로입구)
서울교통공사,2호선,왕십리,지하,1,외,6,지하1층 6-1번 출구 쪽
서울교통공사,2호선,용답,지상,1,외,1,대합실
서울교통공사,2호선,용두(동대문구청),지하,1,내,2,(외선승강장)2-2 승강장 앞
서울교통공사,2호선,용두(동대문구청),지하,1,외,2,(외선대합실)1/2번 출구 입구
서울교통공사,2호선,용두(동대문구청),지하,1,외,5,(내선대합실)5번출구 입구
서울교통공사,2호선,용두(동대문구청),지하,1,내,5,(내선승강장)3-3 승강장 앞
서울교통공사,2호선,을지로3가,지하,1,외,2,지하1층 다게이트 옆
서울교통공사,2호선,을지로4가,지하,1,외,2,지하1층 1/2번 출구 옆
서울교통공사,2호선,을지로입구,지하,1,외,4,지하1층 다게이트 옆
서울교통공사,2호선,이대,지하,1,외,5,지하1층 대합실 5번출구 옆
서울교통공사,2호선,잠실(송파구청),지하,1,외,1,대합실 1층 1/2번출구 앞 
서울교통공사,2호선,잠실나루,지상,1,외,2,대합실 1층 통로 중앙
서울교통공사,2호선,잠실새내,지하,1,외,2,대합실 1층 2번출구 앞
서울교통공사,2호선,종합운동장,지하,1,외,1,대합실 1층 1/2번출구 앞 (잠실새내측)
서울교통공사,2호선,종합운동장,지하,1,외,5,대합실 1층 5번출구 앞 (삼성측)
서울교통공사,2호선,충정로(경기대입구),지하,2,외,6,지하2층 아현방면 끝단
서울교통공사,2호선,한양대,지상,2,외,2,고객센터 맞은편
서울교통공사,2호선,합정,지하,1,내,1,지하1층대합실/ 1/2번출구
서울교통공사,2호선,홍대입구,지하,1,외,2,지하1층대합실/ 2번출구 옆 
