철도운영기관명,선명,역명,지상지하구분,역층,게이트내외,출구번호,상세위치,화장실구분
서울교통공사,5호선,강동,지하,1,외,2,대합실 지하1층 2번출구 앞 ,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,5호선,강일,지하,2,외,3,대합실 지하2층 3번출구측,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,5호선,강일,지하,2,외,4,대합실 지하2층 4번출구측,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,5호선,개롱,지하,1,외,1,1/4번호 출구 사이,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,5호선,개화산,지하,1,외,1,대합실 지하1층 하선E/L 옆 ,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,5호선,거여,지하,1,외,8,대합실 1층 8번출구 앞,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,5호선,고덕,지하,1,외,1,대합실 지하1층 1번 출구 방향,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,5호선,공덕,지하,1,외,3, 대합실 1층 3번출구 앞,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,5호선,광나루(장신대),지하,1,외,1,지하1층,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,5호선,광화문(세종문화회관),지하,1,외,7,세종측 대합실 지하1층,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,5호선,군자(능동),지하,1,외,7,지하1층 대합실 5 게이트(가) 앞,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,5호선,굽은다리(강동구민회관앞),지하,1,외,3,대합실 지하1층 3번출구 앞,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,5호선,길동,지하,1,외,3,대합실 지하1층 3번 출구 옆,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,5호선,김포공항,지하,2,외,1,대합실 지하 2층/1번출구 아래(국내선 연결통로 방면),일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 무 / 교통약자(여) : 무
서울교통공사,5호선,김포공항,지하,1,외,1,대합실 지하 1층/ 1번출구 옆(지하철경찰센터 옆),일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,5호선,까치산,지하,1,외,1,대합실(지하1층) 1~4번 출구 앞,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,5호선,답십리,지하,1,외,5,B1층 5/6번 출입구 방향,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,5호선,동대문역사문화공원,지하,1,외,7,지하1층,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,5호선,둔촌동,지하,1,외,3,대합실 지하1층/ 3/4번 출구 방향,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,5호선,마곡,지하,1,외,2,지하1층 대합실 2번출구 하단,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,5호선,마장,지하,2,외,1,지하2층 대합실,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,5호선,마천,지하,1,외,1,대합실 지하1층 1번출구 방향에서우측 코너,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,5호선,마포,지하,1,외,4,대합실 1층 토니모리좌측,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,5호선,명일,지하,1,외,3,대합실 지하1층 3번출구 앞 ,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,5호선,목동,지하,1,외,7,대합실 지하1층 7번출구 옆,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,5호선,미사,지하,1,내,2,대합실 지하1층 승강장 상선 내부계단옆,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,5호선,미사,지하,1,외,5,대합실 지하1층 5번 출구옆,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,5호선,발산,지하,1,외,1,대합실 1층 1/ 9번 출구 사이,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,5호선,방이,지하,1,외,3,대합실 지하1층 3/4번 출구방향 ,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
